path,duration,id,category,split
01 Hip Hop/Before Sunrise Chopped Piano 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Chopped_Piano_01,Keyboards,train
01 Hip Hop/Before Sunrise Chopped Piano 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Chopped_Piano_02,Keyboards,train
01 Hip Hop/Before Sunrise Dark Bass 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Dark_Bass_01,Bass,train
01 Hip Hop/Before Sunrise Dark Bass 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Dark_Bass_02,Bass,valid
01 Hip Hop/Before Sunrise Lush Chords 01.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Lush_Chords_01,Keyboards,test
01 Hip Hop/Before Sunrise Lush Chords 02.mp3,7.497143,01_Hip_Hop_Before_Sunrise_Lush_Chords_02,Keyboards,train
01 Hip Hop/Bell Ringer Arpeggio.mp3,7.157551,01_Hip_Hop_Bell_Ringer_Arpeggio,Keyboards,train
01 Hip Hop/Bell Ringer Vox Synth.mp3,7.157551,01_Hip_Hop_Bell_Ringer_Vox_Synth,Keyboards,test
01 Hip Hop/Black Tie Synth Lead.mp3,5.433469,01_Hip_Hop_Black_Tie_Synth_Lead,Keyboards,valid
01 Hip Hop/Boss Level Arpeggio.mp3,6.948571,01_Hip_Hop_Boss_Level_Arpeggio,Keyboards,train
01 Hip Hop/Boss Level Chimes.mp3,6.948571,01_Hip_Hop_Boss_Level_Chimes,Keyboards,train
01 Hip Hop/Brass Brigade Beat.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Beat,Electronic Beats,train
01 Hip Hop/Brass Brigade Brass Stabs.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Brass_Stabs,Horn/Wind,train
01 Hip Hop/Brass Brigade Sampled Brass.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Sampled_Brass,Horn/Wind,train
01 Hip Hop/Brass Brigade Sub Bass.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Sub_Bass,Bass,test
01 Hip Hop/Brass Brigade Synth Arp.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Synth_Arp,Keyboards,test
01 Hip Hop/Brass Brigade Topper.mp3,6.948571,01_Hip_Hop_Brass_Brigade_Topper,Electronic Beats,train
01 Hip Hop/Break Free Beat.mp3,6.948571,01_Hip_Hop_Break_Free_Beat,Electronic Beats,train
01 Hip Hop/Break Free Keys.mp3,6.948571,01_Hip_Hop_Break_Free_Keys,Keyboards,train
01 Hip Hop/Break Free Melodic Lead.mp3,6.948571,01_Hip_Hop_Break_Free_Melodic_Lead,Keyboards,test
01 Hip Hop/Break Free Synth Arp.mp3,6.948571,01_Hip_Hop_Break_Free_Synth_Arp,Keyboards,test
01 Hip Hop/Break Free Synth Bass.mp3,6.948571,01_Hip_Hop_Break_Free_Synth_Bass,Bass,train
01 Hip Hop/Break Free Topper.mp3,6.948571,01_Hip_Hop_Break_Free_Topper,Electronic Beats,train
01 Hip Hop/Broken Organ Lead.mp3,7.053061,01_Hip_Hop_Broken_Organ_Lead,Keyboards,test
01 Hip Hop/Cali Swag Bass.mp3,5.485714,01_Hip_Hop_Cali_Swag_Bass,Bass,train
01 Hip Hop/Cali Swag Beat.mp3,5.485714,01_Hip_Hop_Cali_Swag_Beat,Electronic Beats,train
01 Hip Hop/Cali Swag Droning Pad.mp3,5.485714,01_Hip_Hop_Cali_Swag_Droning_Pad,Keyboards,train
01 Hip Hop/Cali Vibes Arpeggio.mp3,3.369796,01_Hip_Hop_Cali_Vibes_Arpeggio,Keyboards,test
01 Hip Hop/Cali Vibes Bass.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Bass,Bass,train
01 Hip Hop/Cali Vibes Glide Synth.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Glide_Synth,Keyboards,train
01 Hip Hop/Cali Vibes Lead Guitar.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Lead_Guitar,Guitars,valid
01 Hip Hop/Cali Vibes Piano.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Piano,Keyboards,train
01 Hip Hop/Cali Vibes Synth Lead.mp3,6.687347,01_Hip_Hop_Cali_Vibes_Synth_Lead,Keyboards,valid
01 Hip Hop/Cali Vibes Wah Guitar.mp3,3.369796,01_Hip_Hop_Cali_Vibes_Wah_Guitar,Guitars,train
01 Hip Hop/Call It High Keys.mp3,6.086531,01_Hip_Hop_Call_It_High_Keys,Keyboards,train
01 Hip Hop/Carla Lyric 02.mp3,7.732245,01_Hip_Hop_Carla_Lyric_02,Vocals,train
01 Hip Hop/Chart Topper Synth Glide.mp3,7.732245,01_Hip_Hop_Chart_Topper_Synth_Glide,Keyboards,train
01 Hip Hop/Chasing Shadows Guitar Lead 01.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Guitar_Lead_01,Guitars,train
01 Hip Hop/Chasing Shadows Guitar Lead 02.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Guitar_Lead_02,Guitars,train
01 Hip Hop/Chasing Shadows Guitar Vamp.mp3,4.649796,01_Hip_Hop_Chasing_Shadows_Guitar_Vamp,Keyboards,train
01 Hip Hop/Chasing Shadows Pad 03.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Pad_03,Keyboards,train
01 Hip Hop/Chasing Shadows Plucked Arp.mp3,9.221224,01_Hip_Hop_Chasing_Shadows_Plucked_Arp,Keyboards,train
01 Hip Hop/Chill Hip-Hop Beat 01.mp3,8.986122,01_Hip_Hop_Chill_Hip-Hop_Beat_01,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 02.mp3,8.986122,01_Hip_Hop_Chill_Hip-Hop_Beat_02,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 03.mp3,5.746939,01_Hip_Hop_Chill_Hip-Hop_Beat_03,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 04.mp3,5.746939,01_Hip_Hop_Chill_Hip-Hop_Beat_04,Electronic Beats,valid
01 Hip Hop/Chill Hip-Hop Beat 05.mp3,4.101224,01_Hip_Hop_Chill_Hip-Hop_Beat_05,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 06.mp3,8.803265,01_Hip_Hop_Chill_Hip-Hop_Beat_06,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 07.mp3,8.097959,01_Hip_Hop_Chill_Hip-Hop_Beat_07,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 08.mp3,4.101224,01_Hip_Hop_Chill_Hip-Hop_Beat_08,Electronic Beats,train
01 Hip Hop/Chill Hip-Hop Beat 09.mp3,7.497143,01_Hip_Hop_Chill_Hip-Hop_Beat_09,Electronic Beats,train
01 Hip Hop/Choral Tension Strings.mp3,6.948571,01_Hip_Hop_Choral_Tension_Strings,Strings,train
01 Hip Hop/Christy Background 11.mp3,6.086531,01_Hip_Hop_Christy_Background_11,Vocals,train
01 Hip Hop/Christy Background 15.mp3,5.302857,01_Hip_Hop_Christy_Background_15,Vocals,train
01 Hip Hop/Christy Background 16.mp3,6.086531,01_Hip_Hop_Christy_Background_16,Vocals,train
01 Hip Hop/Chronicles Brass.mp3,5.146122,01_Hip_Hop_Chronicles_Brass,Horn/Wind,train
01 Hip Hop/Chronicles Echo Guitar.mp3,5.146122,01_Hip_Hop_Chronicles_Echo_Guitar,Guitars,train
01 Hip Hop/Chronicles Flutter Synth.mp3,5.146122,01_Hip_Hop_Chronicles_Flutter_Synth,Keyboards,train
01 Hip Hop/Chronicles Muted Guitar.mp3,5.146122,01_Hip_Hop_Chronicles_Muted_Guitar,Guitars,valid
01 Hip Hop/Chronicles Rhythm Guitar.mp3,5.146122,01_Hip_Hop_Chronicles_Rhythm_Guitar,Guitars,train
01 Hip Hop/Chronicles Sub Bass.mp3,5.146122,01_Hip_Hop_Chronicles_Sub_Bass,Bass,train
01 Hip Hop/Chronicles Wah Guitar.mp3,5.146122,01_Hip_Hop_Chronicles_Wah_Guitar,Guitars,test
01 Hip Hop/City Lights Blip Synth.mp3,6.50449,01_Hip_Hop_City_Lights_Blip_Synth,Keyboards,train
01 Hip Hop/City Lights Brass.mp3,6.50449,01_Hip_Hop_City_Lights_Brass,Horn/Wind,train
01 Hip Hop/City Lights Synth Lead.mp3,3.291429,01_Hip_Hop_City_Lights_Synth_Lead,Keyboards,train
01 Hip Hop/City of Angeles Beat.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Beat,Drums,train
01 Hip Hop/City of Angeles Guitar Chords.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Guitar_Chords,Guitars,train
01 Hip Hop/City of Angeles Melody Guitar.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Melody_Guitar,Guitars,test
01 Hip Hop/City of Angeles Phase Guitar.mp3,2.742857,01_Hip_Hop_City_of_Angeles_Phase_Guitar,Guitars,train
01 Hip Hop/City of Angeles Rock Guitar.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Rock_Guitar,Guitars,train
01 Hip Hop/City of Angeles String Hits.mp3,5.433469,01_Hip_Hop_City_of_Angeles_String_Hits,Strings,train
01 Hip Hop/City of Angeles Sub Bass.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Sub_Bass,Bass,train
01 Hip Hop/City of Angeles Synth Lead.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Synth_Lead,Keyboards,test
01 Hip Hop/City of Angeles Synth Strings.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Synth_Strings,Keyboards,train
01 Hip Hop/City of Angeles Wah Guitar.mp3,5.433469,01_Hip_Hop_City_of_Angeles_Wah_Guitar,Guitars,valid
01 Hip Hop/Clap Your Hands Beat.mp3,3.422041,01_Hip_Hop_Clap_Your_Hands_Beat,Electronic Beats,valid
01 Hip Hop/Climbing Brass Arpeggio.mp3,6.687347,01_Hip_Hop_Climbing_Brass_Arpeggio,Keyboards,valid
01 Hip Hop/Cold Chills Beat.mp3,5.302857,01_Hip_Hop_Cold_Chills_Beat,Drums,train
01 Hip Hop/Cold Shoulder Beat.mp3,5.433469,01_Hip_Hop_Cold_Shoulder_Beat,Electronic Beats,train
01 Hip Hop/Cold Shoulder Gated Synth.mp3,5.433469,01_Hip_Hop_Cold_Shoulder_Gated_Synth,Keyboards,train
01 Hip Hop/Cold Shoulder Metal Guitar.mp3,5.433469,01_Hip_Hop_Cold_Shoulder_Metal_Guitar,Guitars,train
01 Hip Hop/Cold Shoulder Sub Bass.mp3,5.433469,01_Hip_Hop_Cold_Shoulder_Sub_Bass,Bass,train
01 Hip Hop/Cold Shoulder Synth Choir.mp3,5.433469,01_Hip_Hop_Cold_Shoulder_Synth_Choir,Keyboards,train
01 Hip Hop/Come Up Aah Vox.mp3,6.086531,01_Hip_Hop_Come_Up_Aah_Vox,Vocals,train
01 Hip Hop/Come Up Beat 01.mp3,6.086531,01_Hip_Hop_Come_Up_Beat_01,Electronic Beats,train
01 Hip Hop/Come Up Beat 02.mp3,6.086531,01_Hip_Hop_Come_Up_Beat_02,Electronic Beats,train
01 Hip Hop/Come Up Hazy Chords 01.mp3,6.086531,01_Hip_Hop_Come_Up_Hazy_Chords_01,Keyboards,valid
01 Hip Hop/Come Up Hazy Chords 02.mp3,6.086531,01_Hip_Hop_Come_Up_Hazy_Chords_02,Keyboards,train
01 Hip Hop/Come Up Murmer Bass 01.mp3,6.086531,01_Hip_Hop_Come_Up_Murmer_Bass_01,Bass,train
01 Hip Hop/Come Up Murmer Bass 02.mp3,6.086531,01_Hip_Hop_Come_Up_Murmer_Bass_02,Bass,train
01 Hip Hop/Come Up Rhythmic Keys.mp3,6.086531,01_Hip_Hop_Come_Up_Rhythmic_Keys,Keyboards,train
01 Hip Hop/Countdown Arpeggio.mp3,6.426122,01_Hip_Hop_Countdown_Arpeggio,Keyboards,train
01 Hip Hop/Counting Seconds Beat.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Beat,Electronic Beats,train
01 Hip Hop/Counting Seconds Orchestral Pad.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Orchestral_Pad,Keyboards,train
01 Hip Hop/Counting Seconds Saw Synth.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Saw_Synth,Keyboards,test
01 Hip Hop/Counting Seconds Sub Bass.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Sub_Bass,Bass,train
01 Hip Hop/Counting Seconds Synth Bells.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Synth_Bells,Keyboards,valid
01 Hip Hop/Counting Seconds Topper.mp3,6.948571,01_Hip_Hop_Counting_Seconds_Topper,Electronic Beats,train
01 Hip Hop/Daylight Guitar FX.mp3,6.922449,01_Hip_Hop_Daylight_Guitar_FX,Guitars,train
01 Hip Hop/Daylight Laser FX.mp3,6.948571,01_Hip_Hop_Daylight_Laser_FX,Keyboards,train
01 Hip Hop/Daylight Piano FX.mp3,6.948571,01_Hip_Hop_Daylight_Piano_FX,Keyboards,valid
01 Hip Hop/Daylight Riser FX.mp3,6.948571,01_Hip_Hop_Daylight_Riser_FX,Keyboards,train
01 Hip Hop/Daylight Sample Hit 01.mp3,0.522449,01_Hip_Hop_Daylight_Sample_Hit_01,Keyboards,train
01 Hip Hop/Daylight Sample Hit 02.mp3,0.522449,01_Hip_Hop_Daylight_Sample_Hit_02,Keyboards,test
01 Hip Hop/Daylight Sample Stabs.mp3,6.948571,01_Hip_Hop_Daylight_Sample_Stabs,Keyboards,train
01 Hip Hop/Daylight Synth Arp.mp3,6.948571,01_Hip_Hop_Daylight_Synth_Arp,Keyboards,train
01 Hip Hop/Deal Breaker Arpeggio.mp3,6.765714,01_Hip_Hop_Deal_Breaker_Arpeggio,Keyboards,train
01 Hip Hop/Deal Breaker Beat.mp3,6.765714,01_Hip_Hop_Deal_Breaker_Beat,Electronic Beats,train
01 Hip Hop/Deal Breaker Guitar.mp3,6.765714,01_Hip_Hop_Deal_Breaker_Guitar,Guitars,test
01 Hip Hop/Deal Breaker Synth Lead.mp3,6.765714,01_Hip_Hop_Deal_Breaker_Synth_Lead,Keyboards,train
01 Hip Hop/Deep Connection Bendy Vox 01.mp3,6.086531,01_Hip_Hop_Deep_Connection_Bendy_Vox_01,Vocals,valid
01 Hip Hop/Deep Connection Bendy Vox 02.mp3,6.086531,01_Hip_Hop_Deep_Connection_Bendy_Vox_02,Vocals,train
01 Hip Hop/Deep Connection Percussion Snaps.mp3,6.086531,01_Hip_Hop_Deep_Connection_Percussion_Snaps,Percussion,train
01 Hip Hop/Deep Connection Rhythmic Pad 01.mp3,6.086531,01_Hip_Hop_Deep_Connection_Rhythmic_Pad_01,Keyboards,train
01 Hip Hop/Deep Connection Rhythmic Pad 02.mp3,6.086531,01_Hip_Hop_Deep_Connection_Rhythmic_Pad_02,Keyboards,train
01 Hip Hop/Deep Connection String Bass 01.mp3,6.086531,01_Hip_Hop_Deep_Connection_String_Bass_01,Bass,train
01 Hip Hop/Deep Connection String Bass 02.mp3,6.086531,01_Hip_Hop_Deep_Connection_String_Bass_02,Bass,train
01 Hip Hop/Deep Freeze Beat 01.mp3,6.582857,01_Hip_Hop_Deep_Freeze_Beat_01,Electronic Beats,train
01 Hip Hop/Deep Freeze Beat 02.mp3,6.582857,01_Hip_Hop_Deep_Freeze_Beat_02,Electronic Beats,train
01 Hip Hop/Deep Freeze Synth.mp3,6.582857,01_Hip_Hop_Deep_Freeze_Synth,Keyboards,train
01 Hip Hop/Detroit Made Lead Guitar.mp3,7.601633,01_Hip_Hop_Detroit_Made_Lead_Guitar,Guitars,valid
01 Hip Hop/Detroit Made Muted Guitar.mp3,3.84,01_Hip_Hop_Detroit_Made_Muted_Guitar,Guitars,train
01 Hip Hop/Detroit Made Piano.mp3,7.601633,01_Hip_Hop_Detroit_Made_Piano,Keyboards,valid
01 Hip Hop/Detroit Made Strings.mp3,7.601633,01_Hip_Hop_Detroit_Made_Strings,Strings,test
01 Hip Hop/Detroit Made Synth Lead.mp3,3.84,01_Hip_Hop_Detroit_Made_Synth_Lead,Keyboards,train
01 Hip Hop/Diesel Power Percussion.mp3,6.948571,01_Hip_Hop_Diesel_Power_Percussion,Electronic Beats,train
01 Hip Hop/Diesel Power Riser FX.mp3,6.948571,01_Hip_Hop_Diesel_Power_Riser_FX,Keyboards,train
01 Hip Hop/Diesel Power Strings.mp3,6.948571,01_Hip_Hop_Diesel_Power_Strings,Strings,train
01 Hip Hop/Diesel Power Sub Bass FX.mp3,2.951837,01_Hip_Hop_Diesel_Power_Sub_Bass_FX,Bass,train
01 Hip Hop/Diesel Power Synth FX.mp3,3.526531,01_Hip_Hop_Diesel_Power_Synth_FX,Keyboards,train
01 Hip Hop/Diesel Power Vox FX.mp3,0.940408,01_Hip_Hop_Diesel_Power_Vox_FX,Vocals,valid
01 Hip Hop/Diesel Power Vox Lead 01.mp3,6.948571,01_Hip_Hop_Diesel_Power_Vox_Lead_01,Keyboards,train
01 Hip Hop/Diesel Power Vox Lead 02.mp3,6.948571,01_Hip_Hop_Diesel_Power_Vox_Lead_02,Keyboards,train
01 Hip Hop/Diesel Power Vox Lead 03.mp3,6.948571,01_Hip_Hop_Diesel_Power_Vox_Lead_03,Keyboards,train
01 Hip Hop/Doctor's Orders Beat.mp3,5.041633,01_Hip_Hop_Doctor's_Orders_Beat,Electronic Beats,train
01 Hip Hop/Doctor's Orders Sub Bass.mp3,5.041633,01_Hip_Hop_Doctor's_Orders_Sub_Bass,Bass,train
01 Hip Hop/Doctor's Orders Synth Lead.mp3,5.041633,01_Hip_Hop_Doctor's_Orders_Synth_Lead,Keyboards,train
01 Hip Hop/Doghouse Beat.mp3,5.302857,01_Hip_Hop_Doghouse_Beat,Electronic Beats,train
01 Hip Hop/Doghouse Buzz Bass.mp3,2.716735,01_Hip_Hop_Doghouse_Buzz_Bass,Bass,train
01 Hip Hop/Doghouse Dark Piano.mp3,2.716735,01_Hip_Hop_Doghouse_Dark_Piano,Keyboards,train
01 Hip Hop/Doghouse Melody Piano.mp3,5.302857,01_Hip_Hop_Doghouse_Melody_Piano,Keyboards,valid
01 Hip Hop/Doghouse Synth Lead.mp3,2.716735,01_Hip_Hop_Doghouse_Synth_Lead,Keyboards,train
01 Hip Hop/Doppelganger Synth.mp3,6.870204,01_Hip_Hop_Doppelganger_Synth,Keyboards,valid
01 Hip Hop/Double Vision Blip Synth.mp3,5.146122,01_Hip_Hop_Double_Vision_Blip_Synth,Keyboards,train
01 Hip Hop/Double Vision Synth Lead.mp3,5.146122,01_Hip_Hop_Double_Vision_Synth_Lead,Keyboards,train
01 Hip Hop/Dreaming Arp Bells.mp3,6.948571,01_Hip_Hop_Dreaming_Arp_Bells,Keyboards,train
01 Hip Hop/Dreaming Deep Sub Bass.mp3,6.948571,01_Hip_Hop_Dreaming_Deep_Sub_Bass,Bass,train
01 Hip Hop/Dreaming Space Synth 01.mp3,6.948571,01_Hip_Hop_Dreaming_Space_Synth_01,Keyboards,train
01 Hip Hop/Dreaming Space Synth 02.mp3,6.948571,01_Hip_Hop_Dreaming_Space_Synth_02,Keyboards,train
01 Hip Hop/Dreaming Space Synth 03.mp3,6.948571,01_Hip_Hop_Dreaming_Space_Synth_03,Keyboards,train
01 Hip Hop/Dreaming Synth Chords.mp3,6.948571,01_Hip_Hop_Dreaming_Synth_Chords,Keyboards,valid
01 Hip Hop/Dreaming Synth Plucks.mp3,6.948571,01_Hip_Hop_Dreaming_Synth_Plucks,Keyboards,train
01 Hip Hop/Drive Slow Gated Bass.mp3,6.870204,01_Hip_Hop_Drive_Slow_Gated_Bass,Bass,train
01 Hip Hop/Drive Slow Sub Bass.mp3,6.870204,01_Hip_Hop_Drive_Slow_Sub_Bass,Bass,train
01 Hip Hop/Drive Slow Synth Lead.mp3,3.474286,01_Hip_Hop_Drive_Slow_Synth_Lead,Keyboards,valid
01 Hip Hop/Drops of Rain Piano.mp3,6.948571,01_Hip_Hop_Drops_of_Rain_Piano,Keyboards,train
01 Hip Hop/Drops of Rain Synth Arp.mp3,6.948571,01_Hip_Hop_Drops_of_Rain_Synth_Arp,Keyboards,train
01 Hip Hop/Drops of Rain Synth Plucks.mp3,6.948571,01_Hip_Hop_Drops_of_Rain_Synth_Plucks,Keyboards,train
01 Hip Hop/Early Days Synth Lead.mp3,6.765714,01_Hip_Hop_Early_Days_Synth_Lead,Keyboards,train
01 Hip Hop/Embattled Gated Synth.mp3,6.948571,01_Hip_Hop_Embattled_Gated_Synth,Keyboards,train
01 Hip Hop/Embattled Sampled Organ.mp3,6.948571,01_Hip_Hop_Embattled_Sampled_Organ,Keyboards,train
01 Hip Hop/Empty Throne Bass.mp3,6.582857,01_Hip_Hop_Empty_Throne_Bass,Bass,test
01 Hip Hop/Empty Throne Beat 02.mp3,6.582857,01_Hip_Hop_Empty_Throne_Beat_02,Electronic Beats,train
01 Hip Hop/Empty Throne Brass.mp3,6.582857,01_Hip_Hop_Empty_Throne_Brass,Keyboards,train
01 Hip Hop/Empty Throne Synth.mp3,6.582857,01_Hip_Hop_Empty_Throne_Synth,Keyboards,train
01 Hip Hop/Endless Streets Bass Swell.mp3,5.433469,01_Hip_Hop_Endless_Streets_Bass_Swell,Bass,train
01 Hip Hop/Endless Streets Beat.mp3,5.433469,01_Hip_Hop_Endless_Streets_Beat,Electronic Beats,train
01 Hip Hop/Endless Streets Stabby Bass.mp3,5.433469,01_Hip_Hop_Endless_Streets_Stabby_Bass,Bass,train
01 Hip Hop/Endless Streets Sub Bass 01.mp3,5.433469,01_Hip_Hop_Endless_Streets_Sub_Bass_01,Bass,train
01 Hip Hop/Endless Streets Sub Bass 02.mp3,5.433469,01_Hip_Hop_Endless_Streets_Sub_Bass_02,Bass,test
01 Hip Hop/Endless Streets Vox Atmospheres 01.mp3,5.433469,01_Hip_Hop_Endless_Streets_Vox_Atmospheres_01,Vocals,train
01 Hip Hop/Endless Streets Vox Atmospheres 02.mp3,5.433469,01_Hip_Hop_Endless_Streets_Vox_Atmospheres_02,Vocals,train
01 Hip Hop/Endless Streets Wobble Pad.mp3,5.433469,01_Hip_Hop_Endless_Streets_Wobble_Pad,Keyboards,train
01 Hip Hop/Faceoff Beat.mp3,5.433469,01_Hip_Hop_Faceoff_Beat,Drums,test
01 Hip Hop/Faceoff Brass.mp3,5.433469,01_Hip_Hop_Faceoff_Brass,Horn/Wind,train
01 Hip Hop/Faceoff Filter Synth.mp3,5.433469,01_Hip_Hop_Faceoff_Filter_Synth,Keyboards,train
01 Hip Hop/Faceoff Guitar Chords.mp3,5.433469,01_Hip_Hop_Faceoff_Guitar_Chords,Guitars,train
01 Hip Hop/Faceoff Guitar Lead.mp3,5.433469,01_Hip_Hop_Faceoff_Guitar_Lead,Guitars,train
01 Hip Hop/Faceoff Guitar Riff.mp3,5.433469,01_Hip_Hop_Faceoff_Guitar_Riff,Guitars,train
01 Hip Hop/Faceoff Piano.mp3,5.433469,01_Hip_Hop_Faceoff_Piano,Keyboards,train
01 Hip Hop/Faceoff Sub Bass.mp3,5.433469,01_Hip_Hop_Faceoff_Sub_Bass,Bass,train
01 Hip Hop/Faceoff Synth Lead.mp3,5.433469,01_Hip_Hop_Faceoff_Synth_Lead,Keyboards,train
01 Hip Hop/Faded Love Low Organ.mp3,6.086531,01_Hip_Hop_Faded_Love_Low_Organ,Keyboards,train
01 Hip Hop/Faded Love String Rhythms.mp3,6.086531,01_Hip_Hop_Faded_Love_String_Rhythms,Strings,train
01 Hip Hop/Faded Love Top Vox.mp3,6.086531,01_Hip_Hop_Faded_Love_Top_Vox,Vocals,train
01 Hip Hop/Falling Rain Beat.mp3,6.086531,01_Hip_Hop_Falling_Rain_Beat,Drums,train
01 Hip Hop/Falling Rain Gated Synth.mp3,6.086531,01_Hip_Hop_Falling_Rain_Gated_Synth,Keyboards,train
01 Hip Hop/Falling Rain Synth Lead.mp3,6.086531,01_Hip_Hop_Falling_Rain_Synth_Lead,Keyboards,train
01 Hip Hop/False Alarm Beat 01.mp3,5.825306,01_Hip_Hop_False_Alarm_Beat_01,Electronic Beats,train
01 Hip Hop/False Alarm Beat 02.mp3,5.825306,01_Hip_Hop_False_Alarm_Beat_02,Electronic Beats,train
01 Hip Hop/False Alarm Synth Effect.mp3,5.825306,01_Hip_Hop_False_Alarm_Synth_Effect,Keyboards,test
01 Hip Hop/Fired Up Beat.mp3,6.948571,01_Hip_Hop_Fired_Up_Beat,Electronic Beats,test
01 Hip Hop/Fired Up String Swells.mp3,6.948571,01_Hip_Hop_Fired_Up_String_Swells,Keyboards,train
